Tabla 1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,OXDA,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
GDL,,,,,,,,,,,,,
QR,,,,,,,,,,,,,
CS,,,,,,,,,,,,,
FARAON,,,,,,,,,,,,,
CC1,,,,,,,,,,,,,
CC2,,,,,,,,,,,,,
CC CHINO,,,,,,,,,,,,,
CC1 QUARTZ,,,,,,,,,,,,,
VERACRUZ,,,,,,,,,,,,,
MEN VLP,,,,,,,,,,,,,
MAY VLP,,,,,,,,,,,,,
ARAMSA,,,,,,,,,,,,,
